,Molecule Name,Pubchem ID #,Note,SMILES String,Other SMILES,Method,Contributor,Detection Threshold,Detection Units,Normalized Detection Threshold,Molecule Odour,Resources,N
63,"(1\\\'S,E)-(-)-2-Ethyl-4-(2,2,3-trimethyl-cyclopent-3-enyl)-but-2-en-1-ol",119898,,CC\\C(CO)=C/C[C@@H]1CC=C(C)C1(C)C,CC\\C(CO)=C/C[C@@H]1CC=C(C)C1(C)C,ChemDraw + Cactus,DW,4.40E+01,ppb,44.0,milky sandalwood oil odor with a cedar character,,31
64," ( 1S,5S)-(-)-\\xce\\xb1-Pinene",440968,Changed from PubChem ID 6654,CC1=CC[C@H]2C[C@@H]1C2(C)C,CC1=CC[C@H]2C[C@@H]1C2(C)C,Different PubChem ID,DW,1.00E-01,ppb,0.1,"harsh, terpene-like, coniferous",,32
65,"(1R,5R)-( + )-\\xce\\xb1-Pinene",82227,,CC1=CC[C@@H]2C[C@H]1C2(C)C,,,,2.00E-02,ppb,0.02,"harsh, terpene-like minty",,32
66," (1R,5R)-(+)-\\xce\\xb2-Pinene",10290825,,CC1([C@@H]2CCC(=C)[C@H]1C2)C,,,,2.54E+00,ppb,2.54,,,33
67,"(1S,5S )-(- )-\\xce\\xb2-Pinene",440967,Changed from PubChem ID# 14896,CC1([C@H]2CCC(=C)[C@@H]1C2)C  ,CC1([C@H]2CCC(=C)[C@@H]1C2)C  ,Different PubChem ID,DW,4.16E+00,ppb,4.16,,,33
68,(4S)-(-)-limonene,11217495,,CC(=C)[C@H]1CC[C@@]([C@@H](C1)O)(C)O,,,,1.04E+00,ppb,1.04,,,34
69,(4R)-(+)-limonene,441246,Completely different molecule from original PubChem ID #35672,CC(=C)[C@@H]1CC[C@]([C@H](C1)O)(C)O,CC(=C)[C@@H]1CC[C@]([C@H](C1)O)(C)O,Different PubChem ID,DW,1.20E+00,ppb,1.2,pleasant lemon,,34
70,(4S)-(+)-terpinene-4-ol,11230,,CC1=C2CC(CC1C3(CC4CC(=C3C)C4(C)C)C5[C@@H](O)C6CC(=C5C)C6(C)C)C2(C)C,CC1=C2CC(CC1C3(CC4CC(=C3C)C4(C)C)C5[C@@H](O)C6CC(=C5C)C6(C)C)C2(C)C,Different name in Cactus,,1.29E+00,ppb,1.29,,,35
71,(4R)-(-)-terpinene-4-ol,11230,,CC1=C2CC(CC1C3(CC4CC(=C3C)C4(C)C)C5[C@H](O)C6CC(=C5C)C6(C)C)C2(C)C,CC1=C2CC(CC1C3(CC4CC(=C3C)C4(C)C)C5[C@H](O)C6CC(=C5C)C6(C)C)C2(C)C,Different name in Cactus,DW,1.19E+00,ppb,1.19,,,35
72,(3R)-(-)-linalool,443158,,CC(=CCC[C@](C)(C=C)O)C,,,,8.00E-04,ppb,0.0008,"floral, woody lavender ",,36
73,(3S)-(+)-linalool,67179,,CC(=CCC[C@@](C)(C=C)O)C,CC(=CCC[C@@](C)(C=C)O)C,PubChem Isomeric SMILES,DW,7.40E-03,ppb,0.0074,"sweet, floral; odor reminiscent of petitgrain and lavender",,36
74,(4S)-(-)-\\xce\\xb1-terpineol,443162,Formerly 17100,CC1=CC[C@H](CC1)C(C)(C)O ,CC1=CC[C@H](CC1)C(C)(C)O ,PubChem Isomeric SMILES,DW,9.18E+00,ppb,9.18,,,37
75,(4R)-(+)-\\xce\\xb1-terpineol,42501,Formerly 17100,CC1=CC[C@@H](CC1)C(C)(C)O,CC1=CC[C@@H](CC1)C(C)(C)O,PubChem Isomeric SMILES,DW,6.80E+00,ppb,6.8,,,37
76,(4S)-(-)-perillaldehyde,2724159,,CC(=C)[C@H]1CCC(=CC1)C=O,,,,3.00E-02,ppb,0.03,,,38
77,(4R)-(+)-perillaldehyde,1548901,,CC(=C)[C@@H]1CCC(=CC1)C=O,,,,7.00E-02,ppb,0.07,,,38
78,"(4R)-(+)-cis-limonene-1,2-oxide",6430738,,CCC[C@@H](CCC(C)OC)C(C)C,,,,2.60E-01,ppb,0.26,,,39
79,(4S)-(-)-cis-limonene-1.2-oxide,6430738,,CCC[C@@H](CCC(C)OC)C(C)C,,,,,,,,,39
80,"(4S)-(-)-trans-limonene-1,2-oxide",53713586,,CC(=C)C1CC[C@]2([C@H](C1)O2)C,,,,,,,,,40
81,"(4R)-(+)-trans-limonene-1,2-oxide",53713586,,CC(=C)C1CC[C@]2([C@H](C1)O2)C,,,,,,,,,40
82,(3R)-(+)-citronellal,75427,,C[C@H](CCC=C(C)C)CC=O,,,,3.00E-02,ppb,0.03,"powerful, fresh, herbaceous-citrusy",,41
83,(3S)-(-)citronellal,443157,,C[C@@H](CCC=C(C)C)CC=O,,,,3.00E-02,ppb,0.03,"powerful, fresh, bright clean, herbaceous-citrusy",,41
84,(3R)-(+)-citronellol,129702262,,C[C@H](CCC=C(C)C)/C=C/O,,,,4.00E-02,ppb,0.04,"citronella oil-like; Described by Yamamoto et. al.., as slightly oily light rosy-leafy, petal like odor with irritating top note",,42
85,(3S)-(-)-citronellol,129630260,,C[C@@H](CCC=C(C)C)/C=C/O,C[C@@H](CCC=C(C)C)/C=C/O,PubChem ID,DW,4.00E-02,ppb,0.04,"floral, rose-like odor, reminiscent of geranium oil; Described by Yamamoto et. al.. as very fresh light and clean rosy-leafy, petal-like",,42
86,(+)-camphene,92221,,CC1([C@@H]2CC[C@@H](C2)C1=C)C,,,,1.86E+00,ppb,1.86,,,43
87,(-)-camphene,440966,,CC1([C@H]2CC[C@H](C2)C1=C)C,,,,1.98E+00,ppb,1.98,,,43
88,(+)-fenchone,1201521,,C[C@]12CC[C@H](C1)C(C2=O)(C)C,,,,2.40E-01,ppb,0.24,,,44
89,(-)-fenchone,82229,,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,,,,4.40E-01,ppb,0.44,,,44
90,(4R)-(+)-perillyl alcohol,11788398,,CC(=C)[C@@H]1CCC(=CC1)CO,,,,4.40E-01,ppb,0.44,,,45
91,(4S)-(-)-perillyl alcohol,369312,Formerly 11788398,CC(=C)[C@H]1CCC(=CC1)CO,CC(=C)[C@H]1CCC(=CC1)CO,PubChem ID,DW,1.66E+00,ppb,1.66,,,45
92,"(1S,3S,4R)-(+)-menthol",165675,,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,,,,9.20E-01,ppb,0.92,,,46
93,"(1R,3R,4S)-(-)-menthol",16666,,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,,,,2.28E+00,ppb,2.28,,,46
94,"(2R,5S)-(+)-menthone",443159,,C[C@H]1CC[C@@H](C(=O)C1)C(C)C,,,,2.10E-01,ppb,0.21,,,47
95,"(2S,5R)-(-)-menthone",26447,,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,,,,3.50E-01,ppb,0.35,,,47
96,"(1R,3S,4S)-(+)-neomenthol",439263,,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,ChemDraw + Cactus,DW,8.10E-01,ppb,0.81,,,48
97,"(1S,3R,4R)-(-)-neomenthol",6566020,,CC(C)[C@H]1CC[C@H](C)C[C@H]1O,CC(C)[C@H]1CC[C@H](C)C[C@H]1O,ChemDraw + Cactus,DW,1.05E+00,ppb,1.05,,,48
98,(3S)-(-)-citronellyl acetate,9017,,C[C@H](CCOC(C)=O)CCC=C(C)C,C[C@H](CCOC(C)=O)CCC=C(C)C,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,resh lime citrus odor with camphoraceous note,,49
99,(3R)-(+)-citronellyl acetate,9017,,C[C@@H](CCOC(C)=O)CCC=C(C)C,C[C@@H](CCOC(C)=O)CCC=C(C)C,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,fresh citrus lime odor with dirty aldehyde note,,49
100,(3S)-(-)-citronellyl ethly ether,92168245,,CCOCC[C@@H](C)CCC=C(C)C,CCOCC[C@@H](C)CCC=C(C)C,PubChem ID,DW,5.00E+02,ppb,500.0,"clean sweet rosy odor , powerful fresh topnote",,50
101,(3R)-(+)-citronellyl ethly ether,92168246,,CCOCC[C@H](C)CCC=C(C)C,,,,2.50E+02,ppb,250.0,floral rosy odor,,50
102,(3S)-(+)-citronellyl nitrile,3033030,,C[C@@H](CCC=C(C)C)CC#N,C[C@@H](CCC=C(C)C)CC#N,ChemDraw + Cactus,DW,7.50E+01,ppb,75.0,strong citrus odor with aldehyde note,,51
103,(3R)-(-)-citronellyl nitrile,3033030,,C[C@H](CCC=C(C)C)CC#N,C[C@H](CCC=C(C)C)CC#N,ChemDraw + Cactus,DW,1.00E+02,ppb,100.0,mild fresh citrus,,51
104,(3S)-(-)-dihydrocitronellal,12266719,,CC(C)CCC[C@H](C)CC=O,CC(C)CCC[C@H](C)CC=O,ChemDraw + Cactus,DW,5.00E+00,ppb,5.0,floral odor with sweet rosy note,,52
105,(3R)-(+)-dihydrocitronellal,12266719,,CC(C)CCC[C@@H](C)CC=O,CC(C)CCC[C@@H](C)CC=O,ChemDraw + Cactus,DW,5.00E+00,ppb,5.0,powerful rosy odor with irritative green note,,52
106,(3S)-(-)-dihydrocitronellol,92283029,,CC(C)CCC[C@@H](C)CCO,CC(C)CCC[C@@H](C)CCO,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,floral odor like clean rose,,53
107,(3R)-(+)-dihydrocitronellol,6999991,,CC(C)CCC[C@H](C)CCO,CC(C)CCC[C@H](C)CCO,ChemDraw + Cactus,DW,1.00E+02,ppb,100.0,"chemical, waxy and dry rosy",,53
108,(3S)-(-)-dihydrocitronellyl acetate,30249,,CC(C)CCC[C@H](C)CCOC(C)=O,CC(C)CCC[C@H](C)CCOC(C)=O,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,clean citrus and muguet floral,,54
109,(3R)-(+)-dihydrocitronellyl acetate,30249,,CC(C)CCC[C@@H](C)CCOC(C)=O,CC(C)CCC[C@@H](C)CCOC(C)=O,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,sweet citrus and muguet floral,,54
110,(3S)-(-)-dihydrocitronellyl ethyl ether,90843,,CCOCC[C@H](C)CCCC(C)C,CCOCC[C@H](C)CCCC(C)C,ChemDraw + Cactus,DW,1.00E+03,ppb,1000.0,"clean, rosy",,55
111,(3R)-(+)-dihydrocitronellyl ethyl ether,90843,,CCOCC[C@@H](C)CCCC(C)C,CCOCC[C@@H](C)CCCC(C)C,ChemDraw + Cactus,DW,5.00E+02,ppb,500.0,fresh rosy odor with clean fatty topnote,,55
112,(3S)-(+)-dihydrocitronellyl nitrile,170284,,CC(C)CCC[C@H](C)CC#N,CC(C)CCC[C@H](C)CC#N,ChemDraw + Cactus,DW,5.00E+01,ppb,50.0,citrus floral with fatty and herbal topnote,,56
