,Unnamed: 0,Molecule Name,Pubchem ID #,Note,SMILES String,Other SMILES,Method,Contributor,Detection Threshold,Detection Units,Normalized Detection Threshold,Molecule Odour,Resources,N,log_abs,det
54,54,"(1\\\'R,6\\\'S)-(+)-1-(2\\\',2\\\',6\\\'-Trimethyl-cyclohexyl)-pentan-3-ol",10829712,,CC[C@@H](O)CC[C@@H]1[C@@H](C)CCCC1(C)C,CC[C@@H](O)CC[C@@H]1[C@@H](C)CCCC1(C)C,ChemDraw + Cactus,DW,5.60E+01,ppb,56.0,very diffusive sharp amber odor with slight orrisy camphoraceous side note,,27,1.2012019796387123,2.0227168929133015
56,56,(R)-(+)-5-heptylpentan-5-olide,12844,,CCCCCCC[C@@H]1CCCC(=O)O1,CCCCCCC[C@@H]1CCCC(=O)O1,Cactus,DW,5.00E+02,ppb,500.0,"Fruity, sweet, apricot",,28,1.0,1.958607314841775
60,60,"(+)-(2R)-2-methyl-4-[(1S)-2,2,3-trimethylcyclopent-3-en-1-yl]butan-1-ol",1747971,,CC1=CC[C@@H](C1(C)C)CC[C@@H](C)CO,,,,1.45E+01,ppb,14.5,peculiar sandalwood\\\'s strongly excellent smell,,30,1.0866052641268318,1.428202485956121
62,62,"(1\\\'R,E)-(-)-2-Ethyl-4-(2\\\',2\\\',3\\\'-trimethyl-cyclopent-3-enyl)-but-2-en-1-ol",119898,,CC\\C(CO)=C/C[C@H]1CC=C(C)C1(C)C,CC\\C(CO)=C/C[C@H]1CC=C(C)C1(C)C,ChemDraw + Cactus,DW,8.50E-01,ppb,0.85,"clean, bright and strong sandalwood oil odor with richness and a woody note",,31,1.7140337507718948,0.22213915048435046
64,64," ( 1S,5S)-(-)-\\xce\\xb1-Pinene",440968,Changed from PubChem ID 6654,CC1=CC[C@H]2C[C@@H]1C2(C)C,CC1=CC[C@H]2C[C@@H]1C2(C)C,Different PubChem ID,DW,1.00E-01,ppb,0.1,"harsh, terpene-like, coniferous",,32,0.6989700043360189,-1.4771212547196624
66,66," (1R,5R)-(+)-\\xce\\xb2-Pinene",10290825,,CC1([C@@H]2CCC(=C)[C@H]1C2)C,,,,2.54E+00,ppb,2.54,,,33,0.21425961400680468,0.49888224020983557
68,68,(4S)-(-)-limonene,11217495,,CC(=C)[C@H]1CC[C@@]([C@@H](C1)O)(C)O,,,,1.04E+00,ppb,1.04,,,34,0.062147906748844434,0.04699656267622358
70,70,(4S)-(+)-terpinene-4-ol,11230,,CC1=C2CC(CC1C3(CC4CC(=C3C)C4(C)C)C5[C@@H](O)C6CC(=C5C)C6(C)C)C2(C)C,CC1=C2CC(CC1C3(CC4CC(=C3C)C4(C)C)C5[C@@H](O)C6CC(=C5C)C6(C)C)C2(C)C,Different name in Cactus,,1.29E+00,ppb,1.29,,,35,0.03504274890671822,0.09271498652954467
72,72,(3R)-(-)-linalool,443158,,CC(=CCC[C@](C)(C=C)O)C,,,,8.00E-04,ppb,0.0008,"floral, woody lavender ",,36,0.9661417327390326,-2.840462149996816
74,74,(4S)-(-)-\\xce\\xb1-terpineol,443162,Formerly 17100,CC1=CC[C@H](CC1)C(C)(C)O ,CC1=CC[C@H](CC1)C(C)(C)O ,PubChem Isomeric SMILES,DW,9.18E+00,ppb,9.18,,,37,0.13033376849500614,0.8928048145934874
76,76,(4S)-(-)-perillaldehyde,2724159,,CC(=C)[C@H]1CCC(=CC1)C=O,,,,3.00E-02,ppb,0.03,,,38,0.36797678529459443,-1.3767507096020997
82,82,(3R)-(+)-citronellal,75427,,C[C@H](CCC=C(C)C)CC=O,,,,3.00E-02,ppb,0.03,"powerful, fresh, herbaceous-citrusy",,41,0.0,-1.5228787452803376
84,84,(3R)-(+)-citronellol,129702262,,C[C@H](CCC=C(C)C)/C=C/O,,,,4.00E-02,ppb,0.04,"citronella oil-like; Described by Yamamoto et. al.., as slightly oily light rosy-leafy, petal like odor with irritating top note",,42,0.0,-1.3979400086720375
86,86,(+)-camphene,92221,,CC1([C@@H]2CC[C@@H](C2)C1=C)C,,,,1.86E+00,ppb,1.86,,,43,0.027152246043614776,0.2828769057758978
88,88,(+)-fenchone,1201521,,C[C@]12CC[C@H](C1)C(C2=O)(C)C,,,,2.40E-01,ppb,0.24,,,44,0.26324143477458145,-0.5078149988444617
90,90,(4R)-(+)-perillyl alcohol,11788398,,CC(=C)[C@@H]1CCC(=CC1)CO,,,,4.40E-01,ppb,0.44,,,45,0.5766554115538677,-0.15762853454369558
92,92,"(1S,3S,4R)-(+)-menthol",165675,,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,,,,9.20E-01,ppb,0.92,,,46,0.3941470196548984,0.11760269169008426
94,94,"(2R,5S)-(+)-menthone",443159,,C[C@H]1CC[C@@H](C(=O)C1)C(C)C,,,,2.10E-01,ppb,0.21,,,47,0.22184874961635634,-0.5808706922580243
96,96,"(1R,3S,4S)-(+)-neomenthol",439263,,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,ChemDraw + Cactus,DW,8.10E-01,ppb,0.81,,,48,0.11270428019128832,-0.03880863060534728
98,98,(3S)-(-)-citronellyl acetate,9017,,C[C@H](CCOC(C)=O)CCC=C(C)C,C[C@H](CCOC(C)=O)CCC=C(C)C,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,resh lime citrus odor with camphoraceous note,,49,0.0,2.3979400086720375
100,100,(3S)-(-)-citronellyl ethly ether,92168245,,CCOCC[C@@H](C)CCC=C(C)C,CCOCC[C@@H](C)CCC=C(C)C,PubChem ID,DW,5.00E+02,ppb,500.0,"clean sweet rosy odor , powerful fresh topnote",,50,0.3010299956639812,2.5228787452803374
102,102,(3S)-(+)-citronellyl nitrile,3033030,,C[C@@H](CCC=C(C)C)CC#N,C[C@@H](CCC=C(C)C)CC#N,ChemDraw + Cactus,DW,7.50E+01,ppb,75.0,strong citrus odor with aldehyde note,,51,0.12493873660829993,1.9330532103693867
104,104,(3S)-(-)-dihydrocitronellal,12266719,,CC(C)CCC[C@H](C)CC=O,CC(C)CCC[C@H](C)CC=O,ChemDraw + Cactus,DW,5.00E+00,ppb,5.0,floral odor with sweet rosy note,,52,0.0,0.6989700043360189
106,106,(3S)-(-)-dihydrocitronellol,92283029,,CC(C)CCC[C@@H](C)CCO,CC(C)CCC[C@@H](C)CCO,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,floral odor like clean rose,,53,0.3979400086720376,2.154901959985743
108,108,(3S)-(-)-dihydrocitronellyl acetate,30249,,CC(C)CCC[C@H](C)CCOC(C)=O,CC(C)CCC[C@H](C)CCOC(C)=O,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,clean citrus and muguet floral,,54,0.0,2.3979400086720375
110,110,(3S)-(-)-dihydrocitronellyl ethyl ether,90843,,CCOCC[C@H](C)CCCC(C)C,CCOCC[C@H](C)CCCC(C)C,ChemDraw + Cactus,DW,1.00E+03,ppb,1000.0,"clean, rosy",,55,0.3010299956639812,2.8239087409443187
112,112,(3S)-(+)-dihydrocitronellyl nitrile,170284,,CC(C)CCC[C@H](C)CC#N,CC(C)CCC[C@H](C)CC#N,ChemDraw + Cactus,DW,5.00E+01,ppb,50.0,citrus floral with fatty and herbal topnote,,56,0.17609125905568124,1.7781512503836436
114,114,(3S)-(+)-2-methylene-citronellal,129702270,,C[C@@H](CCC=C(C)C)C(=C)C=O,C[C@@H](CCC=C(C)C)C(=C)C=O,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,clean citrus odor like bergamot,,57,0.0,2.3979400086720375
116,116,(3S)-(+)-2-methylene-citronellol,129670839,,C[C@@H](CCC=C(C)C)C(=C)CO,C[C@@H](CCC=C(C)C)C(=C)CO,ChemDraw + Cactus,DW,5.00E+02,ppb,500.0,fresh citrus peel,,58,0.3010299956639812,2.8239087409443187
118,118,"(2R,4R)-4-acetylthio-2-heptanol",78113337,,CCC[C@H](C[C@@H](C)O)SC(C)=O,CCC[C@H](C[C@@H](C)O)SC(C)=O,Cactus,DW,1.72E+01,ng/L air,0.0172,"savory, sweet (by GC-O)",,59,2.7584071921878865,-4.222605580156836
120,120,"(2S,4R)-4-acetylthio-2-heptanol",78113337,,CCC[C@H](C[C@H](C)O)SC(C)=O,CCC[C@H](C[C@H](C)O)SC(C)=O,Cactus,DW,2.00E-01,ng/L air,0.0002,"grapefruit, refreshing (by GC-O)",,60,1.3891660843645324,-3.4153141047414604
122,122,"(2R,4R)-4-acetylthio-2-heptyl acetate",8159,,CCC[C@H](C[C@@H](C)OC(C)=O)SC(C)=O,CCC[C@H](C[C@@H](C)OC(C)=O)SC(C)=O,Cactus,DW,5.50E+00,ng/L air,0.0055,"sulfury, fruity, fresh (by GC-O)",,61,1.786120180054919,-3.7517766132888735
124,124,"(2S,4R)-4-acetylthio-2-heptyl acetate",8159,,CCC[C@H](C[C@H](C)OC(C)=O)SC(C)=O,CCC[C@H](C[C@H](C)OC(C)=O)SC(C)=O,Cactus,DW,3.00E-01,ng/L air,0.0003,"sulfury, grapefruit (by GC-O)",,62,0.6368220975871743,-3.312025379965444
126,126,"(2R,4R)-4-mercapto-2-heptyl acetate",8159,,CCC[C@@H](S)C[C@@H](C)OC(C)=O,CCC[C@@H](S)C[C@@H](C)OC(C)=O,Cactus,DW,2.10E+00,ng/L air,0.0021,"sulfury, sweet (by GC-O)",,63,1.8450980400142567,-4.228009058321175
128,128,"(2R,4S)-4-mercapto-2-heptyl acetate ",8159,,CCC[C@H](S)C[C@@H](C)OC(C)=O,CCC[C@H](S)C[C@@H](C)OC(C)=O,Cactus,DW,2.00E-01,ng/L air,0.0002,"sulfury, passion fruit (by GC-O)",,64,1.4842998393467859,-3.4119507231148525
130,130,"(2R,4R)-4-mercapto-2-heptanol",78113334,,CCC[C@@H](S)C[C@@H](C)O,CCC[C@@H](S)C[C@@H](C)O,Cactus,DW,1.00E-01,ng/L air,0.0001,"sulfury, fruity, flowery (by GC-O)",,65,0.3010299956639812,-4.176091259055681
132,132,"(2S,4R)-4-mercapto-2-heptanol",78113334,,CCC[C@@H](S)C[C@H](C)O,CCC[C@@H](S)C[C@H](C)O,Cactus,DW,2.00E-01,ng/L air,0.0002,"sulfury, savory, meaty (by GC-O)",,66,0.17609125905568118,-3.619788758288394
134,134,(4R)-4-mercapto-2-decanone,101898840,,CCCCCC[C@@H](S)CC(C)=O,CCCCCC[C@@H](S)CC(C)=O,Cactus,DW,3.60E+01,ng/L air,0.036000000000000004,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,67,0.0,-1.4436974992327127
136,136,(4R)-4-mercapto-2-nonanone,101898840,,CCCCC[C@@H](S)CC(C)=O,CCCCC[C@@H](S)CC(C)=O,Cactus,DW,8.60E-01,ng/L air,0.00086,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,68,0.053684858962776416,-3.0931729753542907
138,138,(4R)-4-mercapto-2-octanone,132990188,,CCCC[C@H](CC(=O)C)S,,,,9.00E-02,ng/L air,9e-05,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,69,0.3521825181113625,-4.256610855875568
140,140,(4R)-4-mercapto-2-heptanone,101512728,,CCC[C@@H](S)CC(C)=O,CCC[C@@H](S)CC(C)=O,Cactus,DW,7.90E-01,ng/L air,0.00079,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,70,0.5552044104682352,-3.463241606006014
142,142,(4R)-4-mercapto-2-hexanone,57149131,,CC[C@@H](S)CC(C)=O,CC[C@@H](S)CC(C)=O,Cactus,DW,6.90E+01,ng/L air,0.069,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,71,2.0,-2.864442287381406
144,144,(4R)-4-mercapto-2-pentanone,76971681,,C[C@H](CC(=O)C)S,,,,1.20E+00,ng/L air,0.0012,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,72,0.08354605145007488,-2.9645976785309625
146,146,(4R)-4-acetylthio-2-decanone,12741,,CCCCCC[C@H](CC(C)=O)SC(C)=O,CCCCCC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,7.60E+03,ng/L air,7.6,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,73,0.03826450009528262,0.899524556000395
148,148,(4R)-4-acetylthio-2-nonanone,13187,,CCCCC[C@H](CC(C)=O)SC(C)=O,CCCCC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,2.00E+02,ng/L air,0.2,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,74,0.3979400086720376,-0.5440680443502757
150,150,(4R)-4-acetylthio-2-octanone,101898843,,CCCC[C@H](CC(C)=O)SC(C)=O,CCCC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,2.40E+01,ng/L air,0.024,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,75,0.3756636139608854,-1.471368925830571
152,152,(4R)-4-acetylthio-2-heptanone,101898842,,CCC[C@H](CC(C)=O)SC(C)=O,CCC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,2.20E+01,ng/L air,0.022,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,76,0.0202033860882869,-1.66779648435948
154,154,(4R)-4-acetylthio-2-hexanone,89552655,,CC[C@H](CC(C)=O)SC(C)=O,CC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,1.80E+03,ng/L air,0.0018,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,77,2.2887955392469697,-2.4459252900038795
156,156,(4R)-4-acetylthio-2-pentanone,14383536,,C[C@H](CC(C)=O)SC(C)=O,C[C@H](CC(C)=O)SC(C)=O,Cactus,DW,2.30E+02,ng/L air,0.23,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,78,0.32033515085936787,-0.827328400202456
158,158,Ethyl (2S)-2-hydroxy-4-methylpentanoate,13237362,,CCOC(=O)[C@H](CC(C)C)O,,,,5.50E+01,ppb,55.0,fresh blackberry aroma. Both enantiomers have quite similar aromatic nuances.,,79,0.36000785562331905,1.8840846554066035
160,160,D- Proline,8988,,C1C[C@@H](NC1)C(=O)O,,,,1.15E+04,ppm,11500000.0,"smell of ""semen"", ""sperm"", and ""chlorine"" (panelists spontaneous comments)",,80,0.0,7.060697840353612
162,162,L- Proline,145742,,C1C[C@H](NC1)C(=O)O,,,,8.64E+03,ppm,8640000.0,"smell of ""semen"", ""sperm"", and ""chlorine"" (panelists spontaneous comments",,81,0.0,6.936513742478893
164,164,D- Cysteine,92851,,C([C@H](C(=O)O)N)S,,,,2.67E+01,ppm,26700.0,"""sulfur"" and ""rotten eggss"" (panelists spontaneous comments)",,82,0.04269589538414395,4.404638840672229
166,166,D- Methionine,84815,,CSCC[C@H](C(=O)O)N,,,,1.50E+00,ppm,150000.0,"""moldy"", ""old potatoes"" and ""rotten dairy products"" (panelists spontaneous comments)",,83,1.1005442976631505,4.343421367358819
168,168,(+)-(3S)-1-Methoxyhexane-3-thiol,121489460,,CCC[C@@H](CCOC)S  ,CCC[C@@H](CCOC)S  ,PubChem,DW,0.04 * 10^(-3),ng/L air,4e-08,In addition to the herbaceous and (clary) sage odor tonalities it has strong connotations of burnt sulfur and alliaceous notes and evokes associations with human olfactory axillary perspiration,,84,1.4353665066126613,-7.112561958550852
170,170,(-)-(2S)-Heptane-2-thiol,76961480,These next four detection thresholds do not have units so I assumed ppm and converted to ppb in normalized detection threshold,CCCCC[C@H](C)S,CCCCC[C@H](C)S,PubChem,DW,1.00E+01,,10000.0,"sulfury, onion, with some mushroom note; No differences in odor note and threshold value were observed for the enantiomeric forms",,85,0.0,4.0
172,172,"(2R,3S)-3-mercapto-2-methyl-pentane-1-ol",6430888,,CC[C@H](S)[C@H](C)CO,CC[C@H](S)[C@H](C)CO,Cactus,DW,4.00E-02,,4.0,"broth-like, sweaty, leek-like",,86,0.12493873660829995,0.5351132016973492
174,174,(3R)-(-)-3-mercaptohexyl acetate,518810,,CCC[C@@H](S)CCOC(C)=O,CCC[C@@H](S)CCOC(C)=O,Cactus,DW,1.00E-01,ng/L air,0.0001,"In dilution, posseses attractive tropical fruity notes (for the (3R)-3-mercaptohexyl acetate and (3R)-3-mercaptohexyl butanoate) - (description of Werkhoff, et. al.); Werkhoff, et. al. described the 3-mercaptohexyl acetates as grapefruit, black currant, buccu, mango, passion fruit, guava",,87,0.5228787452803376,-4.335792101923193
176,176,(3R)-3-mercaptohexan-1-ol,521348,,CCC[C@@H](S)CCO,CCC[C@@H](S)CCO,Cactus,DW,8.00E-02,ng/L air,8e-05,"In dilution, the (R)-enantiomer is distinctly weaker, showing only sulfury and herbaceous odor impressions - (description of Werkhoff, et. al.); The two enantiomers have quite different aromas; Tominaga et. al. (2006) indicates ""The R form is fruitier, with a zesty aroma reminiscent of grapefruit, while the S form smells more of passion fruit"".",,88,0.05799194697768681,-4.126873236385499
178,178,(2S)-3-mercapto-2-methylpropan-1-ol,529079,,C[C@@H](CO)CS,C[C@@H](CO)CS,Cactus,DW,35-40,ppb,35000.0,"Weaker than the (2R)-enantiomer. Although both of the enantiomers are characterized by the same broth and sweat odour, they have very different odour strength and thresholds.",,89,1.0669467896306133,3.742435698117109
180,180,Ethyl (R)-(-)-3-hydroxyhexanoate,440150,,CCC[C@H](CC(=O)OCC)O,,,,2.10E+00,ng/L air,0.0021,"sweet, woody, fruity.",,90,2.101026579202889,-2.3801787236866647
182,182,Methyl (R)-(-)-3-hydroxyhexanoate,13617479,,CCC[C@H](CC(=O)OC)O,,,,2.10E+00,ng/L air,0.0021,"sweet, woody, fruity",,91,3.3192548157701802,-2.376958883083219
184,184,"Methyl (2S,3R)-2-hydroxy-3-methylpentanoate",95224206,,CC[C@@H](C)[C@@H](C(=O)OC)O,CC[C@@H](C)[C@@H](C(=O)OC)O,PubChem 13262415,DW,1.10E+02,ng/L air,0.11,Odor quality perceived at the sniffing port during GC-O = fruity,,92,1.0,-1.698970004336019
186,186,"Methyl (2R,3R)-2-hydroxy-3-methylpentanoate",49789056,,CC[C@@H](C)[C@H](C(=O)OC)O,CC[C@@H](C)[C@H](C(=O)OC)O,PubChem 13262413,DW,>200,ng/L air,0.201,Odor quality perceived at the sniffing port during GC-O = Not available,,93,1.3031960574204888,-1.7200564022132225
188,188,(-)-(S)-Undecavertol (ee = 75%),40565487,,CCCCC[C@@H](/C(=C/CC)/C)O,,,,4.70E+00,ng/L air,0.0047,"Weaker enantiomer, fruity-green, pinefir balsam note with aspects of tea, not so typical of Undecavertol.",,94,1.1807361641014449,-3.2353481784332745
190,190,(2S)-(+)-2-Butanol,131753087,,CC[C@H](C)O,CC[C@H](C)O,Cactus,DW,5.91E+01,ug/Liter,0.0591,"oily, wine-like (vinous)",,95,0.1504111991062202,-1.3100974079166388
192,192,(R)-(-)-alpha-phellandrene,442482,Formerly ID 443160,CC1=CC[C@@H](C=C1)C(C)C,CC1=CC[C@@H](C=C1)C(C)C,PubChem,DW,5.00E+02,ppb,500000.0,"terpene-like, medicinal",,96,0.3979400086720376,5.455931955649724
194,194,"(1R,3S,4R)-(+)-isomenthol",91747890,,CCCC[C@@H]([C@@H](CC)O)C(C)C,,,,7.00E+02,ppb,700000.0,"musty, woody, fresh-carrot-minty, earthy-camphoraceous, slight cooling",,97,0.06694678963061322,5.810335933755045
198,198,"(4R,2R)-(-)-trans-rose oxide",7093102,,C[C@@H]1CCO[C@H](C1)C=C(C)C,,,,1.60E+02,ppb,160000.0,"floral green, green herbal (minty) fruity",,99,0.3010299956639812,5.028028723600244
202,202,"(2S,4R)-(-)-trans-dihydrorose oxide",114530,,CC(C)C[C@H]1C[C@H](C)CCO1,CC(C)C[C@H]1C[C@H](C)CCO1,ChemDraw + Cactus,DW,1.50E+02,ppb,150000.0,"herbal floral (fruity, minty, dusty floral green)",,101,0.028028723600243534,5.1898795435413145
206,206,"(2R,2\\\'S,5\\\'S)-Lilac aldehyde",5462398,,C[C@@H](C=O)[C@@H]1CC[C@@](O1)(C)C=C,,,,2.00E+01,ng,0.02,flowery,,103,1.8239087409443189,-3.2283147918655883
210,210,"(2R,2\\\'R,5\\\'S)-Lilac aldehyde",71587170,,C[C@@H](C=O)[C@H]1CC[C@@](O1)(C)C=C,,,,4.00E-01,ng,0.0004,"sweet, flowery",,105,1.0,-3.1383026981662816
